Unixtime	state	scanDiameter	electrometerN	RHsh	Tsh	Tdsh
1.72E+09	SCAN	215.6692032	3060.70619	45.7	24	11.5
1.72E+09	SCAN	214.9643196	4596.188875	45.7	24	11.5
1.72E+09	SCAN	214.2603904	4279.847524	45.7	24	11.6
1.72E+09	SCAN	213.5600937	4456.232493	45.6	23.9	11.4
1.72E+09	SCAN	212.8628177	4241.482656	45.7	24	11.5
1.72E+09	SCAN	212.161093	4532.567573	45.7	24	11.5
1.72E+09	SCAN	211.468728	4440.278221	45.7	24	11.5
1.72E+09	SCAN	210.7751696	4473.453981	45.7	24	11.6
1.72E+09	SCAN	210.0835686	4414.542341	45.7	24	11.5
1.72E+09	SCAN	209.3981838	4450.978637	45.7	23.9	11.5
1.72E+09	SCAN	208.7133998	4124.279111	45.7	24	11.5
1.72E+09	SCAN	208.0415258	4585.158551	45.7	24	11.5
1.72E+09	SCAN	207.3618778	4339.718054	45.7	24	11.5
1.72E+09	SCAN	206.6950162	4641.415513	45.7	24	11.5
1.72E+09	SCAN	206.0242873	4480.819863	45.8	24	11.5
1.72E+09	SCAN	205.3551215	4220.252945	45.7	24	11.5
1.72E+09	SCAN	204.6842142	4537.156989	45.7	24	11.5
1.72E+09	SCAN	204.0215089	4326.301296	45.7	24	11.5
1.72E+09	SCAN	203.356891	4415.872763	45.7	24	11.5
1.72E+09	SCAN	202.7074819	4448.976067	45.7	24	11.6
1.72E+09	SCAN	202.0490568	4232.636815	45.7	24	11.5
1.72E+09	SCAN	201.3984205	4445.154379	45.7	23.9	11.5
1.72E+09	SCAN	200.74895	4371.996588	45.8	24	11.6
1.72E+09	SCAN	200.1047511	4526.812688	45.8	24	11.6
1.72E+09	SCAN	199.4606499	4030.113602	45.8	24	11.6
1.72E+09	SCAN	198.8196024	3659.767603	45.8	24	11.6
1.72E+09	SCAN	198.1708866	4100.413222	45.7	23.9	11.5
1.72E+09	SCAN	197.5375851	4016.010821	45.8	24	11.6
1.72E+09	SCAN	196.8978008	4571.266973	45.8	24	11.6
1.72E+09	SCAN	196.2625757	3755.385322	45.8	24	11.6
1.72E+09	SCAN	195.6324825	4467.176486	45.8	24	11.6
1.72E+09	SCAN	194.9992444	4443.95962	45.8	24	11.6
1.72E+09	SCAN	194.3700545	4181.704624	45.7	23.9	11.5
1.72E+09	SCAN	193.7433617	4571.777251	45.9	24	11.6
1.72E+09	SCAN	193.1260448	4247.269915	45.9	24	11.6
1.72E+09	SCAN	192.5074326	4422.535664	45.9	24	11.6
1.72E+09	SCAN	191.8884198	4172.576665	45.9	24	11.6
1.72E+09	SCAN	191.270158	2726.323207	45.9	24	11.6
1.72E+09	SCAN	190.6560453	3646.258347	45.9	24.1	11.7
1.72E+09	SCAN	190.0427147	4356.324433	45.9	24	11.6
1.72E+09	SCAN	189.4338235	4294.653286	45.9	24	11.6
1.72E+09	SCAN	188.8277477	4341.572628	45.9	24	11.6
1.72E+09	SCAN	188.2232819	4282.583908	45.9	24	11.6
1.72E+09	SCAN	187.6293301	4133.447152	45.9	24	11.6
1.72E+09	SCAN	187.0343483	3256.0331	45.8	24	11.6
1.72E+09	SCAN	186.4446758	4269.117817	45.9	24	11.6
1.72E+09	SCAN	185.8505944	3602.830784	46	24	11.7
1.72E+09	SCAN	185.2616712	3921.726607	46	24.1	11.7
1.72E+09	SCAN	184.6760909	4172.858783	46	24	11.7
1.72E+09	SCAN	184.09243	3961.759513	46	24	11.7
1.72E+09	SCAN	183.5101955	4284.344443	45.9	24	11.6
1.72E+09	SCAN	182.9306811	3933.270291	45.9	24	11.7
1.72E+09	SCAN	182.3532756	4625.03267	45.9	24	11.7
1.72E+09	SCAN	181.7794068	4411.255598	45.9	24	11.7
1.72E+09	SCAN	181.2092659	4588.386713	45.9	24	11.7
1.72E+09	SCAN	180.6314888	4250.50116	45.9	24	11.6
1.72E+09	SCAN	180.0650465	4665.199696	46	24	11.7
1.72E+09	SCAN	179.4926254	4415.894346	46	24	11.6
1.72E+09	SCAN	178.9242385	4611.326086	46	24	11.7
1.72E+09	SCAN	178.3580138	4336.07982	46	24	11.7
1.72E+09	SCAN	177.8000281	4482.30753	46	24	11.7
1.72E+09	SCAN	177.2422453	4499.145153	45.9	23.9	11.6
1.72E+09	SCAN	176.6873951	4532.307038	46	24	11.6
1.72E+09	SCAN	176.1343697	4545.285975	46	24	11.6
1.72E+09	SCAN	175.5777772	4589.971503	46	24	11.6
1.72E+09	SCAN	175.0304588	4437.363009	46	24	11.6
1.72E+09	SCAN	174.484294	4529.792649	46	24	11.6
1.72E+09	SCAN	173.934981	4618.167816	46	23.9	11.6
1.72E+09	SCAN	173.3892793	4524.084013	46.1	24	11.7
1.72E+09	SCAN	172.8535665	4408.351177	46.1	24	11.7
1.72E+09	SCAN	172.3107556	4301.493474	46.1	24	11.6
1.72E+09	SCAN	171.763466	4469.963743	46.1	24	11.7
1.72E+09	SCAN	171.2285828	4078.045791	46.1	24	11.7
1.72E+09	SCAN	170.6938319	4571.821958	46.1	24	11.7
1.72E+09	SCAN	170.1583212	3744.301041	46.1	24	11.6
1.72E+09	SCAN	169.6240445	4030.215349	46.1	24	11.7
1.72E+09	SCAN	169.0961531	3742.566714	46.1	24	11.7
1.72E+09	SCAN	168.5665185	4260.739088	46.1	24	11.7
1.72E+09	SCAN	168.0422305	3408.348685	46.1	24	11.7
1.72E+09	SCAN	167.5148913	3251.789007	46	24	11.6
1.72E+09	SCAN	166.9916639	4504.25718	46.1	24	11.7
